CASE #,DATE  OF OCCURRENCE,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,DISTRICT
HX350156,18/7/14,NARCOTICS,POSS: HEROIN(WHITE),ABANDONED BUILDING,TRUE,FALSE,1112,25
HX357107,18/7/14,THEFT,$500 AND UNDER,AIRCRAFT,FALSE,FALSE,1651,16
HX333088,6/7/14,ASSAULT,SIMPLE,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,FALSE,FALSE,1654,16
HX343539,12/7/14,THEFT,OVER $500,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,FALSE,FALSE,1651,16
HX336789,8/7/14,THEFT,OVER $500,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,FALSE,FALSE,813,8
HX345704,15/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,AIRPORT EXTERIOR - NON-SECURE AREA,TRUE,FALSE,1655,16
HX348060,16/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,AIRPORT EXTERIOR - NON-SECURE AREA,TRUE,FALSE,1651,16
HX342539,12/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,AIRPORT EXTERIOR - SECURE AREA,FALSE,TRUE,1114,11
HX355274,16/7/14,THEFT,OVER $500,AIRPORT EXTERIOR - SECURE AREA,TRUE,FALSE,1652,16
HX342661,12/7/14,THEFT,OVER $500,AIRPORT PARKING LOT,TRUE,FALSE,1654,16
HX351813,18/7/14,CRIMINAL DAMAGE,TO VEHICLE,AIRPORT PARKING LOT,FALSE,FALSE,1654,16
HX333259,6/7/14,THEFT,$500 AND UNDER,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,FALSE,FALSE,1651,8
HX334693,7/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,TRUE,FALSE,1652,8
HX339366,7/7/14,THEFT,OVER $500,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,FALSE,FALSE,813,16
HX337880,9/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,TRUE,FALSE,1653,16
HX338209,9/7/14,THEFT,FROM BUILDING,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,FALSE,FALSE,1652,16
HX341098,11/7/14,BATTERY,AGG PO HANDS NO/MIN INJURY,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,TRUE,FALSE,813,16
HX340994,11/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,TRUE,FALSE,1655,16
HX343304,13/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,TRUE,FALSE,1653,16
HX346081,15/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,TRUE,FALSE,1653,16
HX347595,16/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,TRUE,FALSE,1653,16
HX347910,16/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,TRUE,FALSE,1655,16
HX344738,11/7/14,THEFT,OVER $500,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,FALSE,FALSE,1651,16
HX333431,6/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1652,16
HX333955,6/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16
HX334486,7/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16
HX334714,7/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16
HX335140,7/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1651,16
HX337975,9/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16
HX340847,11/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1652,16
HX341748,12/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1651,16
HX341768,12/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16
HX341835,12/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16
HX342501,12/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1651,16
HX343354,13/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16
HX344624,14/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1652,16
HX344763,14/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1652,16
HX344989,14/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1652,16
HX345223,14/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16
HX345650,15/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16
HX346193,15/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16
HX346474,15/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16
HX346736,15/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1655,16
HX347162,16/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1652,16
HX347817,16/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16
HX348344,17/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1652,16
HX348350,17/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1651,16
HX348574,17/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1651,16
HX348994,17/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1652,16
HX349733,18/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16
HX349738,18/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16
HX349743,18/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16
HX349744,18/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1655,16
HX349750,18/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16
HX353885,14/7/14,THEFT,OVER $500,AIRPORT TRANSPORTATION SYSTEM (ATS),FALSE,FALSE,813,8
HX396327,8/7/14,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",AIRPORT VENDING ESTABLISHMENT,FALSE,FALSE,1654,16
HX349914,9/7/14,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",AIRPORT VENDING ESTABLISHMENT,FALSE,FALSE,1654,16
HX342583,11/7/14,THEFT,FROM BUILDING,AIRPORT VENDING ESTABLISHMENT,FALSE,FALSE,1651,16
HX349156,17/7/14,THEFT,$500 AND UNDER,AIRPORT VENDING ESTABLISHMENT,FALSE,FALSE,1651,16
HX349749,18/7/14,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,AIRPORT VENDING ESTABLISHMENT,FALSE,FALSE,1654,16
HX349716,18/7/14,CRIMINAL TRESPASS,TO STATE SUP LAND,AIRPORT VENDING ESTABLISHMENT,TRUE,FALSE,1654,16
HX350473,18/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT VENDING ESTABLISHMENT,FALSE,FALSE,1653,16
HX336224,7/7/14,NARCOTICS,FORFEIT PROPERTY,AIRPORT/AIRCRAFT,TRUE,FALSE,813,8
HX343042,13/7/14,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,FALSE,FALSE,1653,16
HX333538,5/7/14,THEFT,$500 AND UNDER,ALLEY,FALSE,FALSE,1924,1
HX332806,5/7/14,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,ALLEY,TRUE,FALSE,2532,1
HX333178,5/7/14,THEFT,OVER $500,ALLEY,FALSE,FALSE,1511,1
HX332850,5/7/14,ASSAULT,AGGRAVATED PO: HANDGUN,ALLEY,TRUE,FALSE,735,2
HX332875,5/7/14,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,ALLEY,TRUE,FALSE,735,2
HX332921,5/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,835,2
HX333027,6/7/14,NARCOTICS,POSS: SYNTHETIC DRUGS,ALLEY,TRUE,FALSE,1114,2
HX333053,6/7/14,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,932,2
HX333057,6/7/14,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,1122,2
HX333080,6/7/14,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,ALLEY,TRUE,FALSE,2011,2
HX333214,6/7/14,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,ALLEY,TRUE,FALSE,1611,2
HX333240,6/7/14,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,ALLEY,FALSE,FALSE,2535,2
HX333282,6/7/14,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,TRUE,FALSE,313,2
HX333743,6/7/14,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,FALSE,FALSE,932,2
HX333446,6/7/14,ASSAULT,SIMPLE,ALLEY,FALSE,FALSE,1713,2
HX333655,6/7/14,CRIMINAL TRESPASS,TO VEHICLE,ALLEY,TRUE,FALSE,1531,3
HX333646,6/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,2013,3
HX333647,6/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,825,3
HX333757,6/7/14,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,TRUE,FALSE,1132,3
HX333912,6/7/14,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,522,3
HX334007,6/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,1723,3
HX334045,6/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,2223,3
HX334109,6/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,1024,3
HX334157,6/7/14,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,ALLEY,FALSE,FALSE,1914,3
HX334277,6/7/14,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,1713,3
HX334217,6/7/14,ASSAULT,AGGRAVATED PO: HANDGUN,ALLEY,TRUE,FALSE,2232,3
HX334249,6/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,822,3
HX334320,6/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,FALSE,TRUE,1533,4
HX334361,7/7/14,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,ALLEY,TRUE,FALSE,2232,4
HX334426,7/7/14,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,ALLEY,FALSE,FALSE,2535,4
HX334481,7/7/14,ROBBERY,ATTEMPT: ARMED-HANDGUN,ALLEY,FALSE,FALSE,523,4
HX334502,7/7/14,BATTERY,AGGRAVATED: OTHER DANG WEAPON,ALLEY,FALSE,FALSE,1112,4
HX334748,7/7/14,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,FALSE,FALSE,1034,4
HX334775,7/7/14,THEFT,$500 AND UNDER,ALLEY,TRUE,FALSE,825,4
HX334838,7/7/14,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,ALLEY,FALSE,FALSE,831,4
HX334868,7/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,1731,4
HX335708,7/7/14,BATTERY,AGGRAVATED: OTHER DANG WEAPON,ALLEY,FALSE,FALSE,1234,4
HX335186,7/7/14,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,TRUE,FALSE,1114,4
HX336008,7/7/14,THEFT,$500 AND UNDER,ALLEY,FALSE,FALSE,924,4
HX336040,7/7/14,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,FALSE,FALSE,1212,4
HX335712,7/7/14,THEFT,OVER $500,ALLEY,FALSE,FALSE,1224,4
HX335341,7/7/14,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,TRUE,FALSE,1123,4
HX335328,7/7/14,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,1523,4
HX335449,7/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,2221,4
HX335465,7/7/14,GAMBLING,GAME/DICE,ALLEY,TRUE,FALSE,735,4
HX335999,7/7/14,THEFT,OVER $500,ALLEY,FALSE,FALSE,1933,4
HX335762,7/7/14,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,TRUE,FALSE,1133,5
HX335496,7/7/14,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,TRUE,FALSE,1132,5
HX335508,7/7/14,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,1531,5
HX335544,7/7/14,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,TRUE,FALSE,1123,5
HX335685,7/7/14,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,511,5
HX335601,7/7/14,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,513,5
HX335684,7/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,FALSE,TRUE,714,5
HX335813,7/7/14,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,2522,5
HX335686,7/7/14,ASSAULT,SIMPLE,ALLEY,FALSE,TRUE,2413,5
HX335723,7/7/14,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,511,5
HX335711,7/7/14,OTHER OFFENSE,PAROLE VIOLATION,ALLEY,TRUE,FALSE,2532,6
HX336944,7/7/14,THEFT,OVER $500,ALLEY,FALSE,FALSE,1012,6
HX335750,7/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,1024,6
HX335924,7/7/14,ROBBERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,421,6
HX335870,8/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,FALSE,TRUE,232,6
HX335931,8/7/14,BATTERY,AGGRAVATED: OTHER DANG WEAPON,ALLEY,TRUE,TRUE,1513,6
HX335942,8/7/14,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,ALLEY,TRUE,TRUE,2212,6
HX335946,8/7/14,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,TRUE,FALSE,1533,6
HX336333,8/7/14,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,ALLEY,TRUE,FALSE,2532,6
HX336395,8/7/14,ROBBERY,STRONGARM - NO WEAPON,ALLEY,FALSE,FALSE,331,6
HX336408,8/7/14,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,ALLEY,FALSE,FALSE,413,6
HX336417,8/7/14,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,ALLEY,FALSE,TRUE,333,6
HX336714,8/7/14,THEFT,PURSE-SNATCHING,ALLEY,FALSE,FALSE,2233,6
HX336589,8/7/14,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,ALLEY,FALSE,FALSE,1112,6
HX336748,8/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,1914,6
HX338425,8/7/14,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,1133,7
HX336861,8/7/14,THEFT,$500 AND UNDER,ALLEY,FALSE,FALSE,1234,7
HX336868,8/7/14,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,933,7
HX336961,8/7/14,THEFT,$500 AND UNDER,ALLEY,FALSE,FALSE,1934,7
HX337015,8/7/14,NARCOTICS,MANU/DELIVER:CRACK,ALLEY,TRUE,FALSE,1522,7
HX337105,8/7/14,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,TRUE,FALSE,1123,7
HX337004,8/7/14,ASSAULT,SIMPLE,ALLEY,FALSE,FALSE,2413,7
HX337063,8/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,FALSE,TRUE,321,7
HX337055,8/7/14,THEFT,$500 AND UNDER,ALLEY,FALSE,TRUE,1522,7
HX337202,8/7/14,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,ALLEY,TRUE,FALSE,1723,7
HX337199,8/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,1033,7
HX337299,8/7/14,KIDNAPPING,CHILD ABDUCTION/STRANGER,ALLEY,TRUE,FALSE,833,7
HX337213,8/7/14,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,1522,7
HX337230,8/7/14,BATTERY,AGGRAVATED: HANDGUN,ALLEY,FALSE,FALSE,833,7
HX337278,8/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,232,7
HX337297,8/7/14,ROBBERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,1011,7
HX337352,9/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,232,8
HX339174,9/7/14,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,1112,8
HX337471,9/7/14,ROBBERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,823,8
HX337509,9/7/14,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,ALLEY,FALSE,TRUE,232,8
HX338313,9/7/14,THEFT,OVER $500,ALLEY,FALSE,FALSE,113,8
HX337664,9/7/14,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,221,8
HX337858,9/7/14,BATTERY,AGG PO HANDS NO/MIN INJURY,ALLEY,TRUE,FALSE,411,8
HX337931,9/7/14,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,ALLEY,TRUE,FALSE,414,8
HX338088,9/7/14,ARSON,BY FIRE,ALLEY,FALSE,FALSE,1021,8
HX338180,9/7/14,THEFT,$500 AND UNDER,ALLEY,FALSE,FALSE,1411,8
HX338353,9/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,TRUE,TRUE,735,8
HX338333,9/7/14,ASSAULT,AGGRAVATED: HANDGUN,ALLEY,FALSE,FALSE,2413,8
HX340336,9/7/14,THEFT,$500 AND UNDER,ALLEY,FALSE,FALSE,1413,8
HX339822,9/7/14,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,ALLEY,FALSE,FALSE,1934,8
HX338547,9/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,1032,8
HX338598,9/7/14,BATTERY,AGGRAVATED: OTHER DANG WEAPON,ALLEY,FALSE,FALSE,633,8
HX338604,9/7/14,ROBBERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,1111,8
HX338680,9/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,2412,8
HX338774,10/7/14,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,1424,8
HX338810,10/7/14,ASSAULT,AGGRAVATED PO: HANDGUN,ALLEY,TRUE,FALSE,825,8
HX338914,10/7/14,THEFT,OVER $500,ALLEY,TRUE,FALSE,824,8
HX339324,10/7/14,THEFT,OVER $500,ALLEY,FALSE,FALSE,1931,8
HX339145,10/7/14,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,FALSE,FALSE,1021,8
HX339171,10/7/14,ROBBERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,1214,9
HX339183,10/7/14,ASSAULT,AGGRAVATED: HANDGUN,ALLEY,TRUE,FALSE,1533,9
HX339221,10/7/14,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,TRUE,FALSE,1114,9
HX340635,10/7/14,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,FALSE,FALSE,232,9
HX339220,10/7/14,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,TRUE,FALSE,232,9
HX339454,10/7/14,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,1913,9
HX340782,10/7/14,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,821,9
HX339568,10/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,1111,9
HX339537,10/7/14,ROBBERY,ATTEMPT: ARMED-HANDGUN,ALLEY,FALSE,FALSE,412,9
HX339602,10/7/14,KIDNAPPING,CHILD ABDUCTION/STRANGER,ALLEY,FALSE,FALSE,2212,9
HX339626,10/7/14,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,TRUE,FALSE,1113,9
HX339682,10/7/14,THEFT,$500 AND UNDER,ALLEY,TRUE,FALSE,421,9
HX339821,10/7/14,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,FALSE,FALSE,2413,10
HX339881,10/7/14,OTHER OFFENSE,PAROLE VIOLATION,ALLEY,TRUE,FALSE,2533,10
HX339901,10/7/14,ASSAULT,SIMPLE,ALLEY,FALSE,FALSE,424,10
HX339938,10/7/14,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,ALLEY,FALSE,FALSE,1622,10
HX340120,10/7/14,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,921,10
HX339993,10/7/14,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,TRUE,FALSE,2222,10
HX340032,10/7/14,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,FALSE,TRUE,1122,10
HX339984,10/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,1423,10
HX340170,10/7/14,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,TRUE,FALSE,131,10
HX340056,10/7/14,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,1531,10
HX340086,10/7/14,CRIMINAL TRESPASS,TO VEHICLE,ALLEY,TRUE,FALSE,612,10
HX340127,10/7/14,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,ALLEY,FALSE,FALSE,423,10
HX340488,11/7/14,THEFT,$500 AND UNDER,ALLEY,FALSE,FALSE,1522,10
HX340178,11/7/14,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,1013,10
HX340185,11/7/14,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,1212,10
HX340211,11/7/14,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,TRUE,FALSE,1824,10
HX340333,11/7/14,ROBBERY,STRONGARM - NO WEAPON,ALLEY,FALSE,FALSE,2423,10
HX340429,11/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,1513,10
HX340706,11/7/14,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,631,10
HX340826,11/7/14,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,ALLEY,TRUE,FALSE,1123,10
