"CASE #","DATE OF OCCURRENCE","PRIMARY DESCRIPTION","SECONDARY DESCRIPTION","LOCATION DESCRIPTION","ARREST","DOMESTIC","BEAT","X PLOT VALUE","Y PLOT VALUE","DISTRICT","RANGE INDEX","SCORE"
"HX349733","18/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1653","0","0","16","6","1709"
"HX349738","18/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1653","0","0","16","6","1709"
"HX349743","18/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1653","0","0","16","6","1709"
"HX349744","18/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1655","28","865","16","6","1709"
"HX349750","18/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1653","0","0","16","6","1709"
"HX353885","14/7/14","THEFT","OVER $500","AIRPORT TRANSPORTATION SYSTEM (ATS)","N","N","813","327","368","8","16","7169"
"HX396327","8/7/14","DECEPTIVE PRACTICE","THEFT BY LESSEE,MOTOR VEH","AIRPORT VENDING ESTABLISHMENT","N","N","1654","21","915","16","5","1289"
"HX349914","9/7/14","DECEPTIVE PRACTICE","THEFT BY LESSEE,MOTOR VEH","AIRPORT VENDING ESTABLISHMENT","N","N","1654","21","915","16","5","1289"
"HX342583","11/7/14","THEFT","FROM BUILDING","AIRPORT VENDING ESTABLISHMENT","N","N","1651","0","0","16","8","2549"
"HX349156","17/7/14","THEFT","$500 AND UNDER","AIRPORT VENDING ESTABLISHMENT","N","N","1651","0","0","16","2","449"
"HX349749","18/7/14","MOTOR VEHICLE THEFT","THEFT/RECOVERY: AUTOMOBILE","AIRPORT VENDING ESTABLISHMENT","N","N","1654","21","915","16","11","4229"
"HX349716","18/7/14","CRIMINAL TRESPASS","TO STATE SUP LAND","AIRPORT VENDING ESTABLISHMENT","Y","N","1654","21","915","16","2","454"
"HX350473","18/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT VENDING ESTABLISHMENT","N","N","1653","0","0","16","6","1709"
"HX336224","7/7/14","NARCOTICS","FORFEIT PROPERTY","AIRPORT/AIRCRAFT","Y","N","813","327","368","8","2","454"
"HX343042","13/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT/AIRCRAFT","N","N","1653","0","0","16","6","1709"
"HX333538","5/7/14","THEFT","$500 AND UNDER","ALLEY","N","N","1924","483","806","1","2","446"
"HX332806","5/7/14","INTERFERENCE WITH PUBLIC OFFICER","OBSTRUCTING IDENTIFICATION","ALLEY","Y","N","2532","280","711","1","6","1711"
"HX333178","5/7/14","THEFT","OVER $500","ALLEY","N","N","1511","263","678","1","16","7166"
"HX332850","5/7/14","ASSAULT","AGGRAVATED PO: HANDGUN","ALLEY","Y","N","735","489","322","2","4","871"
"HX332875","5/7/14","INTERFERENCE WITH PUBLIC OFFICER","RESIST/OBSTRUCT/DISARM OFFICER","ALLEY","Y","N","735","489","322","2","6","1711"
"HX332921","5/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","835","426","282","2","2","451"
"HX333027","6/7/14","NARCOTICS","POSS: SYNTHETIC DRUGS","ALLEY","Y","N","1114","341","648","2","14","6401"
"HX333053","6/7/14","NARCOTICS","POSS: CRACK","ALLEY","Y","N","932","459","414","2","17","8011"
"HX333057","6/7/14","NARCOTICS","POSS: CRACK","ALLEY","Y","N","1122","362","651","2","17","8011"
"HX333080","6/7/14","PUBLIC PEACE VIOLATION","RECKLESS CONDUCT","ALLEY","Y","N","2011","400","913","2","2","451"
"HX333214","6/7/14","WEAPONS VIOLATION","UNLAWFUL USE OTHER DANG WEAPON","ALLEY","Y","N","1611","219","945","2","2","451"
"HX333240","6/7/14","CRIM SEXUAL ASSAULT","ATTEMPT NON-AGGRAVATED","ALLEY","N","N","2535","360","714","2","9","2966"
"HX333282","6/7/14","NARCOTICS","POSS: HEROIN(WHITE)","ALLEY","Y","N","313","567","359","2","20","22711"
"HX333743","6/7/14","MOTOR VEHICLE THEFT","AUTOMOBILE","ALLEY","N","N","932","459","414","2","11","4226"
"HX333446","6/7/14","ASSAULT","SIMPLE","ALLEY","N","N","1713","386","878","2","0","96"
"HX333655","6/7/14","CRIMINAL TRESPASS","TO VEHICLE","ALLEY","Y","N","1531","302","682","3","2","451"
"HX333646","6/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","2013","475","914","3","2","451"
"HX333647","6/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","825","433","372","3","2","451"
"HX333757","6/7/14","NARCOTICS","POSS: HEROIN(WHITE)","ALLEY","Y","N","1132","352","613","3","20","22711"
"HX333912","6/7/14","BATTERY","SIMPLE","ALLEY","N","N","522","552","108","3","2","446"
"HX334007","6/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","1723","364","853","3","2","451"
"HX334045","6/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","2223","470","187","3","2","451"
"HX334109","6/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","1024","382","558","3","2","451"
"HX334157","6/7/14","ROBBERY","ARMED:KNIFE/CUTTING INSTRUMENT","ALLEY","N","N","1914","507","865","3","23","65546"
"HX334277","6/7/14","BATTERY","SIMPLE","ALLEY","N","N","1713","386","878","3","2","446"
"HX334217","6/7/14","ASSAULT","AGGRAVATED PO: HANDGUN","ALLEY","Y","N","2232","506","174","3","4","871"
"HX334249","6/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","822","379","401","3","2","451"
"HX334320","6/7/14","BATTERY","DOMESTIC BATTERY SIMPLE","ALLEY","N","Y","1533","303","617","4","2","441"
"HX334361","7/7/14","PUBLIC PEACE VIOLATION","RECKLESS CONDUCT","ALLEY","Y","N","2232","506","174","4","2","451"
"HX334426","7/7/14","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","ALLEY","N","N","2535","360","714","4","2","446"
"HX334481","7/7/14","ROBBERY","ATTEMPT: ARMED-HANDGUN","ALLEY","N","N","523","539","61","4","9","2966"
"HX334502","7/7/14","BATTERY","AGGRAVATED: OTHER DANG WEAPON","ALLEY","N","N","1112","361","683","4","9","2966"
"HX334748","7/7/14","CRIMINAL DAMAGE","TO VEHICLE","ALLEY","N","N","1034","434","544","4","9","2966"
"HX334775","7/7/14","THEFT","$500 AND UNDER","ALLEY","Y","N","825","433","372","4","2","451"
"HX334838","7/7/14","PUBLIC PEACE VIOLATION","RECKLESS CONDUCT","ALLEY","N","N","831","406","335","4","2","446"
"HX334868","7/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","1731","322","812","4","2","451"
"HX335708","7/7/14","BATTERY","AGGRAVATED: OTHER DANG WEAPON","ALLEY","N","N","1234","0","0","4","9","2966"
"HX335186","7/7/14","NARCOTICS","POSS: HEROIN(WHITE)","ALLEY","Y","N","1114","341","648","4","20","22711"
"HX336008","7/7/14","THEFT","$500 AND UNDER","ALLEY","N","N","924","466","459","4","2","446"
"HX336040","7/7/14","CRIMINAL DAMAGE","TO VEHICLE","ALLEY","N","N","1212","499","645","4","9","2966"
"HX335712","7/7/14","THEFT","OVER $500","ALLEY","N","N","1224","448","600","4","16","7166"
"HX335341","7/7/14","NARCOTICS","POSS: HEROIN(WHITE)","ALLEY","Y","N","1123","380","647","4","20","22711"
"HX335328","7/7/14","NARCOTICS","POSS: CRACK","ALLEY","Y","N","1523","282","652","4","17","8011"
"HX335449","7/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","2221","459","227","4","2","451"
"HX335465","7/7/14","GAMBLING","GAME/DICE","ALLEY","Y","N","735","489","322","4","2","451"
"HX335999","7/7/14","THEFT","OVER $500","ALLEY","N","N","1933","492","788","4","16","7166"
"HX335762","7/7/14","NARCOTICS","MANU/DELIVER: HEROIN (WHITE)","ALLEY","Y","N","1133","369","613","5","21","27751"
"HX335496","7/7/14","NARCOTICS","POSS: HEROIN(WHITE)","ALLEY","Y","N","1132","352","613","5","20","22711"
"HX335508","7/7/14","NARCOTICS","POSS: CRACK","ALLEY","Y","N","1531","302","682","5","17","8011"
"HX335544","7/7/14","NARCOTICS","MANU/DELIVER: HEROIN (WHITE)","ALLEY","Y","N","1123","380","647","5","21","27751"
"HX335685","7/7/14","NARCOTICS","POSS: CRACK","ALLEY","Y","N","511","584","197","5","17","8011"
"HX335601","7/7/14","NARCOTICS","POSS: CRACK","ALLEY","Y","N","513","564","141","5","17","8011"
"HX335684","7/7/14","BATTERY","DOMESTIC BATTERY SIMPLE","ALLEY","N","Y","714","464","373","5","2","441"
"HX335813","7/7/14","BATTERY","SIMPLE","ALLEY","N","N","2522","312","743","5","2","446"
"HX335686","7/7/14","ASSAULT","SIMPLE","ALLEY","N","Y","2413","414","941","5","0","91"
"HX335723","7/7/14","NARCOTICS","POSS: CRACK","ALLEY","Y","N","511","584","197","5","17","8011"
"HX335711","7/7/14","OTHER OFFENSE","PAROLE VIOLATION","ALLEY","Y","N","2532","280","711","6","6","1711"
"HX336944","7/7/14","THEFT","OVER $500","ALLEY","N","N","1012","341","570","6","16","7166"
"HX335750","7/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","1024","382","558","6","2","451"
"HX335924","7/7/14","ROBBERY","ARMED: HANDGUN","ALLEY","N","N","421","657","289","6","23","65546"
"HX335870","8/7/14","BATTERY","DOMESTIC BATTERY SIMPLE","ALLEY","N","Y","232","567","413","6","2","441"
"HX335931","8/7/14","BATTERY","AGGRAVATED: OTHER DANG WEAPON","ALLEY","Y","Y","1513","267","618","6","9","2966"
"HX335942","8/7/14","BATTERY","AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON","ALLEY","Y","Y","2212","0","0","6","11","4226"
"HX335946","8/7/14","NARCOTICS","POSS: HEROIN(WHITE)","ALLEY","Y","N","1533","303","617","6","20","22711"
"HX336333","8/7/14","NARCOTICS","MANU/DEL:CANNABIS 10GM OR LESS","ALLEY","Y","N","2532","280","711","6","3","661"
"HX336395","8/7/14","ROBBERY","STRONGARM - NO WEAPON","ALLEY","N","N","331","631","320","6","9","2966"
"HX336408","8/7/14","CRIM SEXUAL ASSAULT","AGGRAVATED: HANDGUN","ALLEY","N","N","413","629","261","6","19","15146"
"HX336417","8/7/14","BATTERY","AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON","ALLEY","N","Y","333","642","341","6","11","4221"
"HX336714","8/7/14","THEFT","PURSE-SNATCHING","ALLEY","N","N","2233","526","148","6","9","2966"
"HX336589","8/7/14","ROBBERY","ARMED:KNIFE/CUTTING INSTRUMENT","ALLEY","N","N","1112","361","683","6","23","65546"
"HX336748","8/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","1914","507","865","6","2","451"
"HX338425","8/7/14","BATTERY","SIMPLE","ALLEY","N","N","1133","369","613","7","2","446"
"HX336861","8/7/14","THEFT","$500 AND UNDER","ALLEY","N","N","1234","0","0","7","2","446"
"HX336868","8/7/14","BATTERY","SIMPLE","ALLEY","N","N","933","499","438","7","2","446"
"HX336961","8/7/14","THEFT","$500 AND UNDER","ALLEY","N","N","1934","519","787","7","2","446"
"HX337015","8/7/14","NARCOTICS","MANU/DELIVER:CRACK","ALLEY","Y","N","1522","285","619","7","21","27751"
"HX337105","8/7/14","NARCOTICS","MANU/DELIVER: HEROIN (WHITE)","ALLEY","Y","N","1123","380","647","7","21","27751"
"HX337004","8/7/14","ASSAULT","SIMPLE","ALLEY","N","N","2413","414","941","7","0","96"
"HX337063","8/7/14","BATTERY","DOMESTIC BATTERY SIMPLE","ALLEY","N","Y","321","623","369","7","2","441"
"HX337055","8/7/14","THEFT","$500 AND UNDER","ALLEY","N","Y","1522","285","619","7","2","441"
"HX337202","8/7/14","NARCOTICS","MANU/DEL:CANNABIS OVER 10 GMS","ALLEY","Y","N","1723","364","853","7","18","13051"
"HX337199","8/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","1033","407","529","7","2","451"
"HX337299","8/7/14","KIDNAPPING","CHILD ABDUCTION/STRANGER","ALLEY","Y","N","833","353","321","7","6","1711"
"HX337213","8/7/14","NARCOTICS","POSS: CRACK","ALLEY","Y","N","1522","285","619","7","17","8011"
"HX337230","8/7/14","BATTERY","AGGRAVATED: HANDGUN","ALLEY","N","N","833","353","321","7","9","2966"
"HX337278","8/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","232","567","413","7","2","451"
"HX337297","8/7/14","ROBBERY","ARMED: HANDGUN","ALLEY","N","N","1011","350","589","7","23","65546"
"HX337352","9/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","232","567","413","8","2","451"
"HX339174","9/7/14","BATTERY","SIMPLE","ALLEY","N","N","1112","361","683","8","2","446"
"HX337471","9/7/14","ROBBERY","ARMED: HANDGUN","ALLEY","N","N","823","379","363","8","23","65546"
"HX337509","9/7/14","ASSAULT","AGGRAVATED:KNIFE/CUTTING INSTR","ALLEY","N","Y","232","567","413","8","4","861"
"HX338313","9/7/14","THEFT","OVER $500","ALLEY","N","N","113","549","633","8","16","7166"
"HX337664","9/7/14","BATTERY","SIMPLE","ALLEY","N","N","221","560","455","8","2","446"
"HX337858","9/7/14","BATTERY","AGG PO HANDS NO/MIN INJURY","ALLEY","Y","N","411","560","226","8","9","2971"
"HX337931","9/7/14","NARCOTICS","MANU/DEL:CANNABIS 10GM OR LESS","ALLEY","Y","N","414","639","229","8","3","661"
"HX338088","9/7/14","ARSON","BY FIRE","ALLEY","N","N","1021","382","585","8","11","4226"
"HX338180","9/7/14","THEFT","$500 AND UNDER","ALLEY","N","N","1411","411","779","8","2","446"
"HX338353","9/7/14","BATTERY","DOMESTIC BATTERY SIMPLE","ALLEY","Y","Y","735","489","322","8","2","446"
"HX338333","9/7/14","ASSAULT","AGGRAVATED: HANDGUN","ALLEY","N","N","2413","414","941","8","4","866"
"HX340336","9/7/14","THEFT","$500 AND UNDER","ALLEY","N","N","1413","381","751","8","2","446"
"HX339822","9/7/14","ROBBERY","ARMED: OTHER DANGEROUS WEAPON","ALLEY","N","N","1934","519","787","8","23","65546"
"HX338547","9/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","1032","384","518","8","2","451"
"HX338598","9/7/14","BATTERY","AGGRAVATED: OTHER DANG WEAPON","ALLEY","N","N","633","585","253","8","9","2966"
"HX338604","9/7/14","ROBBERY","ARMED: HANDGUN","ALLEY","N","N","1111","332","674","8","23","65546"
"HX338680","9/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","2412","394","961","8","2","451"
"HX338774","10/7/14","BATTERY","SIMPLE","ALLEY","N","N","1424","442","708","8","2","446"
"HX338810","10/7/14","ASSAULT","AGGRAVATED PO: HANDGUN","ALLEY","Y","N","825","433","372","8","4","871"
"HX338914","10/7/14","THEFT","OVER $500","ALLEY","Y","N","824","428","390","8","16","7171"
"HX339324","10/7/14","THEFT","OVER $500","ALLEY","N","N","1931","451","780","8","16","7166"
"HX339145","10/7/14","CRIMINAL DAMAGE","TO VEHICLE","ALLEY","N","N","1021","382","585","8","9","2966"
"HX339171","10/7/14","ROBBERY","ARMED: HANDGUN","ALLEY","N","N","1214","0","0","9","23","65546"
"HX339183","10/7/14","ASSAULT","AGGRAVATED: HANDGUN","ALLEY","Y","N","1533","303","617","9","4","871"
"HX339221","10/7/14","NARCOTICS","POSS: HEROIN(WHITE)","ALLEY","Y","N","1114","341","648","9","20","22711"
"HX340635","10/7/14","CRIMINAL DAMAGE","TO VEHICLE","ALLEY","N","N","232","567","413","9","9","2966"
"HX339220","10/7/14","NARCOTICS","MANU/DELIVER: HEROIN (WHITE)","ALLEY","Y","N","232","567","413","9","21","27751"
"HX339454","10/7/14","NARCOTICS","POSS: CRACK","ALLEY","Y","N","1913","479","864","9","17","8011"
"HX340782","10/7/14","BATTERY","SIMPLE","ALLEY","N","N","821","380","453","9","2","446"
"HX339568","10/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ALLEY","Y","N","1111","332","674","9","2","451"
"HX339537","10/7/14","ROBBERY","ATTEMPT: ARMED-HANDGUN","ALLEY","N","N","412","629","290","9","9","2966"
"HX339602","10/7/14","KIDNAPPING","CHILD ABDUCTION/STRANGER","ALLEY","N","N","2212","0","0","9","6","1706"
"HX339626","10/7/14","NARCOTICS","MANU/DELIVER: HEROIN (WHITE)","ALLEY","Y","N","1113","325","640","9","21","27751"
