CASE #,DATE  OF OCCURRENCE, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT
HX332801,7/5/2014,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,SIDEWALK,Y,N,1412
HX332793,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1511
HX332797,7/5/2014,OTHER OFFENSE,PAROLE VIOLATION,STREET,Y,N,934
HX332892,7/5/2014,PUBLIC PEACE VIOLATION,ARSON THREAT,RESIDENCE,N,Y,332
HX332886,7/5/2014,THEFT,$500 AND UNDER,STREET,N,N,1931
HX332791,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1913
HX332803,7/5/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CLEANING STORE,Y,N,822
HX332794,7/5/2014,CRIMINAL TRESPASS,TO STATE SUP LAND,POLICE FACILITY/VEH PARKING LOT,Y,N,531
HX332807,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,823
HX332809,7/5/2014,NARCOTICS,POSS: BARBITUATES,STREET,Y,N,422
HX332806,7/5/2014,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,ALLEY,Y,N,2532
HX332810,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1021
HX332808,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,133
HX333268,7/5/2014,THEFT,$500 AND UNDER,STREET,N,N,523
HX333411,7/5/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,611
HX332819,7/5/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1833
HX332924,7/5/2014,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,Y,723
HX332811,7/5/2014,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),Y,N,915
HX332859,7/5/2014,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,Y,Y,1122
HX332825,7/5/2014,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,Y,N,1131
HX332864,7/5/2014,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),Y,N,1034
HX332815,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,Y,N,2533
HX333871,7/5/2014,THEFT,OVER $500,STREET,N,N,314
HX332828,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1115
HX332841,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,Y,N,2532
HX332830,7/5/2014,BATTERY,SIMPLE,RESIDENCE,N,N,1113
HX332813,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,322
HX332822,7/5/2014,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1513
HX332847,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1034
HX333016,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1632
HX333222,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,912
HX333400,7/5/2014,THEFT,OVER $500,STREET,N,N,1924
HX333001,7/5/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,324
HX333460,7/5/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2023
HX333178,7/5/2014,THEFT,OVER $500,ALLEY,N,N,1511
HX332872,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1821
HX335034,7/5/2014,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,1831
HX335117,7/5/2014,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,N,N,1233
HX334691,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,OTHER,N,N,1934
HX333890,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2431
HX333338,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1433
HX333564,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,N,N,1111
HX332850,7/5/2014,ASSAULT,AGGRAVATED PO: HANDGUN,ALLEY,Y,N,735
HX332875,7/5/2014,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,ALLEY,Y,N,735
HX332834,7/5/2014,NARCOTICS,POSS: COCAINE,STREET,Y,N,2413
HX332843,7/5/2014,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,RESIDENTIAL YARD (FRONT/BACK),Y,N,412
HX332888,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,N,221
HX332835,7/5/2014,GAMBLING,GAME/DICE,SIDEWALK,Y,N,1513
HX332837,7/5/2014,BATTERY,SIMPLE,BAR OR TAVERN,Y,N,1212
HX332845,7/5/2014,NARCOTICS,POSS: CRACK,RESIDENTIAL YARD (FRONT/BACK),Y,N,1113
HX332851,7/5/2014,NARCOTICS,FOUND SUSPECT NARCOTICS,STREET,Y,N,731
HX332867,7/5/2014,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,Y,N,2523
HX332860,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1522
HX332882,7/5/2014,ROBBERY,ARMED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),N,N,1433
HX332879,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2024
HX333350,7/5/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,1623
HX332897,7/5/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,N,N,1432
HX332904,7/5/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,N,N,2222
HX332877,7/5/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,SIDEWALK,Y,N,1913
HX332870,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,Y,1731
HX405631,7/5/2014,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",OTHER,N,N,814
HX334681,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,925
HX332921,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,Y,N,835
HX332869,7/5/2014,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,SIDEWALK,Y,N,1924
HX332906,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1914
HX332922,7/5/2014,THEFT,RETAIL THEFT,GAS STATION,Y,N,1022
HX334752,7/5/2014,BATTERY,SIMPLE,STREET,N,N,726
HX336773,7/5/2014,THEFT,FROM BUILDING,APARTMENT,N,N,1533
HX332923,7/5/2014,BURGLARY,HOME INVASION,RESIDENCE,N,N,612
HX333258,7/5/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1512
HX333223,7/5/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,2535
HX332986,7/5/2014,ROBBERY,ARMED: HANDGUN,STREET,N,N,413
HX332932,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,Y,N,423
HX332939,7/5/2014,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,N,N,221
HX333292,7/5/2014,THEFT,OVER $500,STREET,N,N,2411
HX333413,7/5/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,811
HX333381,7/5/2014,THEFT,$500 AND UNDER,OTHER,N,N,1834
HX333313,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1421
HX333652,7/5/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1135
HX333575,7/5/2014,ROBBERY,ARMED: HANDGUN,VEHICLE NON-COMMERCIAL,N,N,934
HX332884,7/5/2014,THEFT,OVER $500,STREET,N,N,1024
HX337165,7/5/2014,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENTIAL YARD (FRONT/BACK),N,N,1033
HX332883,7/5/2014,BATTERY,SIMPLE,STREET,N,N,112
HX333611,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,912
HX333978,7/5/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,2533
HX332899,7/5/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,1013
HX332920,7/5/2014,BATTERY,SIMPLE,STREET,N,N,1132
HX333602,7/5/2014,ASSAULT,SIMPLE,RESTAURANT,N,Y,531
HX332887,7/5/2014,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,731
HX332881,7/5/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,1131
HX332895,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,913
HX332933,7/5/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,Y,N,1924
HX332902,7/5/2014,SEX OFFENSE,PUBLIC INDECENCY,VACANT LOT/LAND,Y,N,1115
HX332896,7/5/2014,OTHER OFFENSE,LICENSE VIOLATION,RESTAURANT,N,N,1112
HX332900,7/5/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,1113
HX332901,7/5/2014,ROBBERY,AGGRAVATED,SIDEWALK,N,N,932
HX332913,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,Y,Y,924
HX332963,7/5/2014,PUBLIC PEACE VIOLATION,MOB ACTION,SIDEWALK,Y,N,814
HX333968,7/5/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,1832
HX334239,7/5/2014,THEFT,POCKET-PICKING,MOVIE HOUSE/THEATER,N,N,1431
HX333261,7/5/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1512
HX333367,7/5/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),N,N,1812
HX332952,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,631
HX332973,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,222
HX337437,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,N,N,532
HX332965,7/5/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,833
HX332925,7/5/2014,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,2525
HX332942,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1431
HX332926,7/5/2014,CRIMINAL TRESPASS,TO LAND,CONVENIENCE STORE,Y,N,423
HX333009,7/5/2014,ASSAULT,SIMPLE,APARTMENT,N,Y,322
HX332999,7/5/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,411
HX332971,7/5/2014,BATTERY,SIMPLE,SPORTS ARENA/STADIUM,Y,N,132
HX335174,7/5/2014,THEFT,OVER $500,STREET,N,N,1433
HX333215,7/5/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1234
HX332935,7/5/2014,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,N,1622
HX332991,7/5/2014,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,Y,N,2412
HX332941,7/5/2014,ROBBERY,AGGRAVATED,STREET,N,N,932
HX333015,7/5/2014,NARCOTICS,POSS: HEROIN(BRN/TAN),STREET,Y,N,1133
HX332959,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,1822
HX333205,7/5/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,1213
HX333372,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,921
HX333764,7/5/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,612
HX333071,7/5/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,N,N,1134
HX334983,7/5/2014,THEFT,OVER $500,RESIDENCE-GARAGE,N,N,1434
HX333212,7/5/2014,BURGLARY,FORCIBLE ENTRY,PARKING LOT/GARAGE(NON.RESID.),N,N,131
HX332979,7/5/2014,THEFT,$500 AND UNDER,APARTMENT,N,Y,813
HX333532,7/5/2014,THEFT,$500 AND UNDER,STREET,N,N,114
HX333349,7/5/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,N,N,334
HX343211,7/5/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1014
HX332936,7/5/2014,THEFT,$500 AND UNDER,TAVERN/LIQUOR STORE,N,N,1924
HX332948,7/5/2014,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,SIDEWALK,Y,N,1723
HX332977,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,STREET,N,Y,1123
HX332949,7/5/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,BAR OR TAVERN,N,N,2515
HX333348,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,221
HX332931,7/5/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,Y,N,1113
HX332983,7/5/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1431
HX332974,7/5/2014,NARCOTICS,POSS: PCP,VACANT LOT/LAND,Y,N,1132
HX332947,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1222
HX332937,7/5/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,Y,N,1113
HX332945,7/5/2014,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,Y,N,1532
HX332966,7/5/2014,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,1214
HX332976,7/5/2014,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,N,N,714
HX332985,7/5/2014,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,STREET,Y,N,1412
HX334802,7/5/2014,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,APARTMENT,N,N,1022
HX333542,7/5/2014,THEFT,$500 AND UNDER,STREET,N,N,234
HX333324,7/5/2014,THEFT,OVER $500,STREET,N,N,1224
HX332995,7/5/2014,BATTERY,SIMPLE,PARK PROPERTY,N,N,1612
HX337775,7/5/2014,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,1215
HX332946,7/5/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,1113
HX332975,7/5/2014,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,Y,N,432
HX333399,7/5/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,613
HX333466,7/5/2014,THEFT,$500 AND UNDER,PARK PROPERTY,N,N,331
HX333916,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,835
HX332955,7/5/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,Y,N,632
HX333008,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1913
HX333406,7/5/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1111
HX335590,7/5/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,N,N,1622
HX333119,7/5/2014,THEFT,OVER $500,STREET,N,N,1214
HX332987,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,2033
HX333007,7/5/2014,THEFT,RETAIL THEFT,GROCERY FOOD STORE,Y,N,2023
HX332989,7/5/2014,THEFT,OVER $500,STREET,N,N,1223
HX332997,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),Y,Y,2532
HX333082,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1811
HX334751,7/6/2014,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,STREET,N,N,1022
HX451131,7/6/2014,THEFT,FROM BUILDING,OTHER,N,N,2412
HX333583,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1215
HX333426,7/6/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,N,N,1622
HX333351,7/6/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,522
HX337896,7/6/2014,THEFT,$500 AND UNDER,,N,N,1233
HX333132,7/6/2014,THEFT,$500 AND UNDER,APARTMENT,N,N,1235
HX336716,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,OTHER,N,N,2521
HX332994,7/6/2014,BATTERY,SIMPLE,APARTMENT,N,N,1123
HX350766,7/6/2014,CRIM SEXUAL ASSAULT,PREDATORY,"SCHOOL, PUBLIC, BUILDING",N,N,622
HX335785,7/6/2014,THEFT,OVER $500,STREET,N,N,434
HX334723,7/6/2014,THEFT,$500 AND UNDER,RESIDENCE,N,Y,915
HX333092,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1631
HX333272,7/6/2014,THEFT,POCKET-PICKING,CTA TRAIN,N,N,113
HX333056,7/6/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE PORCH/HALLWAY,Y,Y,612
HX333595,7/6/2014,THEFT,$500 AND UNDER,BAR OR TAVERN,N,N,1831
HX332990,7/6/2014,HOMICIDE,FIRST DEGREE MURDER,STREET,N,N,2233
HX333022,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1511
HX333035,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,N,N,414
HX333116,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,N,N,333
HX333014,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,324
HX333290,7/6/2014,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,N,N,532
HX333649,7/6/2014,ASSAULT,SIMPLE,STREET,N,N,724
HX333011,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,N,1633
HX333031,7/6/2014,ASSAULT,SIMPLE,SIDEWALK,Y,N,624
HX333017,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1135
HX333088,7/6/2014,ASSAULT,SIMPLE,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,N,N,1654
HX333038,7/6/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,N,N,1524
HX333027,7/6/2014,NARCOTICS,POSS: SYNTHETIC DRUGS,ALLEY,Y,N,1114
HX333064,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,331
HX333074,7/6/2014,BATTERY,SIMPLE,STREET,Y,N,1421
HX333296,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1225
HX333045,7/6/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,N,N,824
HX333070,7/6/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,433
HX333073,7/6/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,N,N,1923
HX333772,7/6/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,N,Y,923
HX333032,7/6/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,1012
HX333055,7/6/2014,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,N,N,1532
HX333024,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1923
HX333034,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1433
HX333165,7/6/2014,BATTERY,SIMPLE,APARTMENT,N,N,1125
HX330587,7/6/2014,HOMICIDE,FIRST DEGREE MURDER,STREET,Y,N,726
HX333042,7/6/2014,ASSAULT,SIMPLE,APARTMENT,N,N,1533
HX333044,7/6/2014,BATTERY,SIMPLE,STREET,Y,N,1125
HX333135,7/6/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,Y,N,215
HX333053,7/6/2014,NARCOTICS,POSS: CRACK,ALLEY,Y,N,932
HX333112,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,N,1122
HX336506,7/6/2014,THEFT,OVER $500,STREET,N,N,434
HX333478,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,1033
HX333867,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,922
HX334064,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1125
HX333807,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,221
HX333584,7/6/2014,THEFT,OVER $500,SIDEWALK,N,N,1924
HX333356,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,1934
HX333298,7/6/2014,THEFT,OVER $500,RESIDENCE,N,N,2013
HX333081,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1122
HX333046,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,1513
HX333161,7/6/2014,THEFT,OVER $500,STREET,N,N,1214
HX333270,7/6/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,321
HX333050,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,921
HX333060,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,922
HX337049,7/6/2014,THEFT,OVER $500,RESIDENCE,N,N,212
HX333094,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,BARBERSHOP,N,N,414
HX333057,7/6/2014,NARCOTICS,POSS: CRACK,ALLEY,Y,N,1122
HX333013,7/6/2014,HOMICIDE,FIRST DEGREE MURDER,AUTO,N,N,1913
HX333047,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,225
HX333078,7/6/2014,BATTERY,AGG PO HANDS NO/MIN INJURY,SIDEWALK,Y,N,1614
HX334704,7/6/2014,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),N,N,613
HX333068,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,GROCERY FOOD STORE,N,N,1631
HX333075,7/6/2014,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,1122
HX333061,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,Y,Y,331
HX333076,7/6/2014,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,N,1011
HX333067,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1833
HX339083,7/6/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,2423
HX333521,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1022
HX333719,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,2012
HX333101,7/6/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,N,N,321
